n,block_type,rt,acc,stimulus,answer,correct_answer
0,experiment,3.261278799996944,1,1.png,2,2
1,experiment,0.4019491999933962,0,2.png,4,3
2,experiment,1.6186527000099886,0,3.png,5,2
3,experiment,6.419629200012423,1,4.png,4,4
4,experiment,8.402444300008938,1,5.png,5,5
